departement;departement_name;dienststelle;dienststelle_name;spezialfinanzierung;spezialfinanzierung_name;konto;bezeichnung;budget_2026;budget_2025;rechnung_2024;abweichung;prozent;kommentar;seite
10;Kantonsrat;1000;Kantonsrat;;;3000.00;Löhne Behörden, Richter und Richterinnen;785700.0;795700.0;293567.8;-10000.0;-1.26;;109
10;Kantonsrat;1000;Kantonsrat;;;3000.10;Sitzungsgelder Kommissionen;209000.0;208800.0;186040.0;200.0;0.1;;109
10;Kantonsrat;1000;Kantonsrat;;;3010.00;Löhne des Verwaltungs- und Betriebspersonals;389300.0;381700.0;254856.9;7600.0;1.99;;109
10;Kantonsrat;1000;Kantonsrat;;;3050.00;AG-Beiträge AHV, IV, EO, ALV, Verwaltungskosten;90000.0;90100.0;29678.5;-100.0;-0.11;;109
10;Kantonsrat;1000;Kantonsrat;;;3052.00;AG-Beiträge an Pensionskassen;52000.0;52400.0;30521.25;-400.0;-0.76;;109
10;Kantonsrat;1000;Kantonsrat;;;3053.00;AG-Beiträge an Unfallversicherungen;7500.0;7500.0;1299.1;;;;109
10;Kantonsrat;1000;Kantonsrat;;;3054.00;AG-Beiträge an Familienzulagekassen;18000.0;18000.0;5942.2;;;;109
10;Kantonsrat;1000;Kantonsrat;;;3059.10;AG-Beiträge Sozialfonds;1100.0;1100.0;362.25;;;;109
10;Kantonsrat;1000;Kantonsrat;;;3090.00;Aus- und Weiterbildung des eigenen Personals;6000.0;6000.0;280.0;;;;109
10;Kantonsrat;1000;Kantonsrat;;;3099.00;Übriger Personalaufwand;13000.0;11000.0;18663.55;2000.0;18.18;;109
10;Kantonsrat;1000;Kantonsrat;;;3100.00;Büromaterial;2000.0;2000.0;2486.51;;;;109
10;Kantonsrat;1000;Kantonsrat;;;3101.00;Betriebs- und Verbrauchsmaterial;1000.0;1000.0;;;;;109
10;Kantonsrat;1000;Kantonsrat;;;3102.00;Drucksachen, Publikationen;84600.0;52600.0;83948.35;32000.0;60.84;Durchschnittliche Zunahme der;109
10;Kantonsrat;1000;Kantonsrat;;;3103.00;Fachliteratur, Zeitschriften;400.0;400.0;344.0;;;;109
10;Kantonsrat;1000;Kantonsrat;;;3118.00;Immaterielle Anlagen;20000.0;15600.0;27781.8;4400.0;28.21;;109
10;Kantonsrat;1000;Kantonsrat;;;3130.00;Dienstleistungen Dritter;143800.0;138600.0;34266.35;5200.0;3.75;;109
10;Kantonsrat;1000;Kantonsrat;;;3133.00;Informatik-Nutzungsaufwand;81600.0;91000.0;44479.5;-9400.0;-10.33;;109
10;Kantonsrat;1000;Kantonsrat;;;3160.00;Mieten und Pachten Liegenschaften;;;161.05;;;;109
10;Kantonsrat;1000;Kantonsrat;;;3161.00;Mieten, Benützungskosten Anlagen;3500.0;1600.0;2966.5;1900.0;118.75;;109
10;Kantonsrat;1000;Kantonsrat;;;3170.00;Reisekosten und Spesen;61000.0;51500.0;19630.9;9500.0;18.45;;109
10;Kantonsrat;1000;Kantonsrat;;;3199.00;Übriger Betriebsaufwand;11500.0;11300.0;2988.8;200.0;1.77;;109
10;Kantonsrat;1000;Kantonsrat;;;3636.00;Beiträge an private Organisationen ohne Erwerbszweck;48000.0;48000.0;48000.0;;;;109
10;Kantonsrat;1000;Kantonsrat;;;3910.00;IV Dienstleistungen;11900.0;11900.0;12105.45;;;;109
10;Kantonsrat;1050;Ombudsstelle;;;3010.00;Löhne des Verwaltungs- und Betriebspersonals;125000.0;;;125000.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3050.00;AG-Beiträge AHV, IV, EO, ALV, Verwaltungskosten;8100.0;;;8100.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3052.00;AG-Beiträge an Pensionskassen;16700.0;;;16700.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3053.00;AG-Beiträge an Unfallversicherungen;700.0;;;700.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3054.00;AG-Beiträge an Familienzulagekassen;1600.0;;;1600.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3059.10;AG-Beiträge Sozialfonds;100.0;;;100.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3090.00;Aus- und Weiterbildung des eigenen Personals;3000.0;;;3000.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3099.00;Übriger Personalaufwand;3000.0;;;3000.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3100.00;Büromaterial;2000.0;;;2000.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3101.00;Betriebs- und Verbrauchsmaterial;2000.0;;;2000.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3102.00;Drucksachen, Publikationen;10000.0;;;10000.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3103.00;Fachliteratur, Zeitschriften;3000.0;;;3000.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3130.00;Dienstleistungen Dritter;10000.0;;;10000.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3133.00;Informatik-Nutzungsaufwand;10000.0;;;10000.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3160.00;Mieten und Pachten Liegenschaften;24000.0;;;24000.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3170.00;Reisekosten und Spesen;4000.0;;;4000.0;;;110
10;Kantonsrat;1050;Ombudsstelle;;;3199.00;Übriger Betriebsaufwand;10000.0;;;10000.0;;;110
20;Regierungsrat / Staatskanzlei;2000;Regierungsrat;;;3000.00;Löhne Behörden, Richter und Richterinnen;1370300.0;1371700.0;1352706.0;-1400.0;-0.1;;111
20;Regierungsrat / Staatskanzlei;2000;Regierungsrat;;;3050.00;AG-Beiträge AHV, IV, EO, ALV, Verwaltungskosten;89100.0;89100.0;81220.55;;;;111
20;Regierungsrat / Staatskanzlei;2000;Regierungsrat;;;3052.00;AG-Beiträge an Pensionskassen;183100.0;183100.0;249335.45;;;;111
20;Regierungsrat / Staatskanzlei;2000;Regierungsrat;;;3053.00;AG-Beiträge an Unfallversicherungen;7400.0;7400.0;4017.0;;;;111
20;Regierungsrat / Staatskanzlei;2000;Regierungsrat;;;3054.00;AG-Beiträge an Familienzulagekassen;17800.0;17800.0;17586.1;;;;111
20;Regierungsrat / Staatskanzlei;2000;Regierungsrat;;;3059.10;AG-Beiträge Sozialfonds;1100.0;1100.0;594.0;;;;111
20;Regierungsrat / Staatskanzlei;2000;Regierungsrat;;;3064.00;Überbrückungsrenten;23500.0;;50022.0;23500.0;;;111
20;Regierungsrat / Staatskanzlei;2000;Regierungsrat;;;3090.00;Aus- und Weiterbildung des eigenen Personals;12000.0;12000.0;13407.55;;;;111
20;Regierungsrat / Staatskanzlei;2000;Regierungsrat;;;3099.00;Übriger Personalaufwand;;;4330.0;;;;111
20;Regierungsrat / Staatskanzlei;2000;Regierungsrat;;;3170.00;Reisekosten und Spesen;75000.0;50000.0;50001.0;25000.0;50.0;Erhöhung der Spesenpauschale für;111
20;Regierungsrat / Staatskanzlei;2000;Regierungsrat;;;3199.00;Übriger Betriebsaufwand;16000.0;16000.0;9348.3;;;;111
20;Regierungsrat / Staatskanzlei;2000;Regierungsrat;;;4309.00;Übrige betriebliche Erträge;-174600.0;-178700.0;-185278.05;4100.0;-2.29;;111
20;Regierungsrat / Staatskanzlei;2010;Staatskanzlei;;;3010.00;Löhne des Verwaltungs- und Betriebspersonals;1557600.0;1420100.0;1425608.9;137500.0;9.68;;111
